conditions,frame,cell,area,Signal1,Signal2,YFPcorr,Signal3,Signal4,Activity
mCherry,1,1,7499,58.2305,82.6979,50.6712,152.589,111.325,0.870183
mCherry,1,2,5651,104.892,156.397,98.7059,254.257,55.656,0.941024
mCherry,1,3,7302,102.587,157.23,100.807,240.854,50.7594,0.982649
mCherry,2,1,7209,168.702,285.098,192.311,352.096,259.958,1.13994
mCherry,2,2,7925,137.232,211.6,136.122,258.988,263.79,0.991912
mCherry,2,3,8868,49.6878,72.8284,45.5001,92.738,152.416,0.915721
mCherry,2,4,5543,123.264,155.505,87.7094,228.589,165.898,0.711556
mCherry,3,1,2571,76.2451,106.699,64.7643,180.994,107.46,0.849423
mCherry,3,2,6293,65.3429,92.4191,56.4805,151.931,104.531,0.864371
mCherry,3,3,4512,13.7872,17.8905,10.3076,38.1879,40.5343,0.747621
mCherry,3,4,4861,22.339,28.6582,16.3717,66.0138,39.6341,0.732875
mCherry,3,5,3535,11.4737,14.959,8.6485,19.5697,9.83895,0.753769
mCherry,4,1,6904,132.572,223.657,150.743,329.404,90.4624,1.13706
mCherry,4,2,6113,147.118,244.549,163.634,353.225,77.5969,1.11226
mCherry,4,3,5624,123.023,217.484,149.821,343.032,151.096,1.21783
mCherry,4,4,4298,172.756,330.224,235.209,543.614,258.734,1.36151
mCherry,5,1,6336,105.477,147.746,89.7335,274.563,122.717,0.85074
mCherry,5,2,9189,30.2654,43.8447,27.1988,57.7147,47.5903,0.898678
mCherry,5,3,9354,72.3533,104.571,64.7766,139.797,112.907,0.895282
mCherry,5,4,4791,83.8497,138.052,91.9347,188.789,77.5783,1.09642
mCherry,6,1,5446,64.9613,84.5284,48.7997,138.418,119.42,0.751211
mCherry,6,2,8220,73.343,105.342,65.0036,178.829,51.0076,0.886296
mCherry,6,3,6975,30.4222,38.7991,22.0669,71.9765,46.597,0.725356
mCherry,6,4,4538,98.0323,130.242,76.3245,219.417,158.999,0.778565
