Control,Condition 1,Condition 2
0.807567,0.846366,1.04029
0.707803,0.918764,1.00078
0.871154,0.912502,1.21597
0.831443,1.0055,1.21458
0.983511,0.891115,1.39795
0.766772,1.14641,0.828419
0.720085,0.866341,1.11681
0.76409,0.964837,1.52753
0.633214,1.18332,0.983924
0.834569,0.730115,0.876815
0.809078,0.850897,0.716905
0.694043,0.742864,0.914328
0.724326,0.804518,0.874442
0.569857,0.758478,1.91092
0.723657,0.754515,0.821925
0.782493,0.738183,1.09231
0.687039,0.720256,0.632571
0.787921,0.723264,0.827995
0.70864,0.753788,0.94859
0.974597,0.792612,1.37713
0.711307,0.808575,0.707284
0.702809,0.873727,0.68206
0.673631,0.883207,0.664631
0.788322,0.676569,0.848541
0.754153,0.689013,0.838428
0.758172,0.838361,0.972263
0.711341,0.72895,0.880832
0.698301,0.817463,0.832873
0.717433,0.893889,0.691174
0.824251,1.0381,0.849629
0.772997,0.818309,0.658219
0.638332,0.776858,0.728791
0.772532,0.545212,1.26894
0.716471,0.870494,0.814118
0.727309,0.826946,0.938346
0.685852,0.854144,0.681879
0.740464,0.725829,0.850001
0.665473,0.774138,0.783526
0.636346,0.643207,0.835626
0.67318,0.740819,0.770759
0.843259,0.855862,0.932081
0.738324,0.6314,0.839169
0.818901,0.72209,1.0025
0.693717,0.739255,0.675661
0.629846,0.801294,0.800603
0.677805,0.670951,0.802749
0.672604,0.720769,0.8759
0.680524,0.753276,3.49024
0.635426,0.582269,0.707853
0.645182,0.97346,1.00935
0.631873,0.694889,1.14638
,0.825846,0.827484
,0.699316,0.838771
,0.646163,0.92458
,0.896274,0.936576
,0.757356,1.08958
,0.709378,0.885344
,0.732561,0.876978
,0.856031,1.11655
,0.764796,0.695477
,0.726367,1.27532
,0.761288,0.783075
,0.567124,1.27453
,0.689162,
,0.744091,
,0.629497,
,0.745194,
,0.722711,
,0.688257,
,1.34151,
