EGFP,mNeonG,Clover,mKOkappa,mOrange2,mScarlet.I,mRuby2,TagRFP.T,mCherry
46.25864763,61.27912677,52.85122155,47.28077396,25.70512689,36.03077825,51.68191617,12.39360769,31.31533469
46.486042930000004,60.97392148,54.05559942,48.42123297,26.43752102,34.93960917,33.75286428,12.59681991,30.85530769
46.66347862,61.27876559,48.93474747,44.93189502,24.47023233,25.38569114,41.93490628,14.03627591,30.66731924
46.30399404,60.80148519,48.95283696,45.47727895,21.72632613,28.27172128,33.68122501,12.59829278,34.28993195
45.67780415,59.89690066,52.9706745,44.03165519,21.52321072,34.00304396,35.8113112,20.86653654,35.6421499
45.35124384,62.764652,52.57956857,47.08018508,23.4495258,34.64272855,48.86999549,23.783923,28.99761807
46.02284467,61.58964118,52.93096652,47.5154171,20.31158757,34.32195843,53.16047349,21.94632377,29.99420984
44.780003550000004,60.99987917,45.22880349,47.61673144,21.26361507,29.95855743,39.86878774,18.75892351,28.73002521
43.77412851,59.53836326,47.50447855,47.76324453,20.9486779,29.99793287,47.72231811,19.34473871,28.75007031
44.4795394,59.37041201,45.79947481,47.26447905,21.17702452,30.88637434,37.259276560000004,20.17568426,31.04938249
45.02199837,58.45707097,37.72617729,47.83244126,29.82519641,35.61469911,45.30570803,18.92559152,33.1943922
44.87583764,58.9750458,49.7877931,46.35330133,9.103084258,35.50127819,51.22431628,19.49527103,32.66684347
43.98185002,55.59404314,37.26874116,47.08443339,16.76073517,33.17516757,49.17254054,22.04486152,25.50749438
46.29908004,58.52878764,40.11142773,47.25739453,19.53849907,33.29783249,51.39846919,22.60403348,29.3074969
45.13842497,58.09885047,42.72770873,47.41869089,14.93705871,31.37289484,35.30701202,23.38517135,30.33736913
40.65707806,60.11806245,47.06557201,47.88309821,20.23426726,34.2576074,49.36378512,24.83568732,30.12917304
40.48797148,58.27970413,48.21815999,47.25641231,19.80200261,30.54220617,38.63341526,24.28030638,33.33964911
42.10046063,59.39762403,42.35392487,45.88075016,19.10783767,33.85001704,45.8303471,25.08212184,33.0280681
44.47849657,56.09638917,48.4480622,45.96958549,20.48845219,33.27543265,52.92601758,20.54977088,31.45657135
45.64111566,61.9002772,44.67005508,45.94875382,22.08949391,36.24702707,50.91275149,20.39757696,32.98167917
43.45146407,60.27731427,47.96400582,48.93281958,23.12747221,36.57299313,39.33225516,21.22336229,32.04822872
44.31497124,59.98593105,48.56951119,48.00648942,13.06817349,34.13964029,41.67982847,7.411150889,35.91758537
46.28396906,58.41509031,49.31972608,48.0774887,NA,36.43056816,44.70287712,9.614913107,35.08886692
44.34051973,58.34900797,43.64918714,46.64908781,NA,32.98566278,26.90041074,12.69511226,30.55369229
44.31113381,62.26133906,42.19541968,NA,NA,33.55884895,51.84852144,17.86088578,32.28171128
40.34116011,57.5680512,38.70893302,NA,NA,35.0363155,53.37101247,11.27311252,31.42274395
40.69433365,58.76088926,49.94229742,NA,NA,38.96504638,26.10618675,16.90416017,31.30469234
44.4014717,58.68289526,47.6348549,NA,NA,35.80142599,14.63095415,15.38056381,30.63221575
42.35575933,59.75539654,48.68332211,NA,NA,35.30086218,54.63847415,20.43387752,NA
41.98288206,59.56667678,47.66213018,NA,NA,32.64574512,31.63305973,13.62117926,NA
42.97069103,60.54483675,40.84819046,NA,NA,33.65656317,50.98051927,19.80260273,NA
